Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
211400,1.3769383,0.051145896,-1.7488091,0.0,1398.0
212800,1.3787456,-0.059045732,-1.4486856,0.0,1398.0
214200,1.3787373,-0.01779007,-1.480288,0.0,1398.0
215600,1.3802247,0.011489278,-1.6735682,0.0,1398.0
217000,1.3818041,-0.03612422,-1.7159519,0.0,1398.0
218400,1.3817163,-0.054826953,-1.5106399,0.0,1398.0
219800,1.3812809,-0.042228267,-1.6496342,0.0,1398.0
221200,1.380179,-0.081091665,-1.435466,0.0,1398.0
222600,1.3801776,-0.0707421,-1.7614876,0.0,1398.0
224000,1.380988,-0.07976574,-1.5741959,0.0,1398.0
225400,1.3808577,-0.10642329,-1.859354,2.0014000331575517,1036.0
226800,1.3821443,-0.11037765,-1.6140666,0.0,1398.0
228200,1.3829535,-0.13226923,-1.2030768,0.0,1398.0
229600,1.3838437,-0.15610918,-1.2528263,0.0,1398.0
231000,1.3839333,-0.15196118,-1.7337778,2.018400034008664,1381.0
232400,1.3845044,-0.16205284,-1.1945446,0.0,1398.0
233800,1.3854516,-0.19007507,-1.2785378,0.0,1398.0
235200,1.3854716,-0.21132863,-1.1070533,0.0,1398.0
236600,1.3851029,-0.21842442,-1.2815244,0.0,1398.0
238000,1.3845617,-0.23083669,-1.289232,0.0,1398.0
239400,1.3845226,-0.22237866,-1.6217179,0.0,1398.0
240800,1.3833328,-0.22442394,-1.6637344,0.0,1398.0
242200,1.3821787,-0.28796017,-1.114466,0.0,1398.0
243600,1.3820838,-0.23314817,-1.4204996,0.0,1398.0
245000,1.3815912,-0.25676718,-1.3580935,0.0,1398.0
246400,1.3815205,-0.40145814,-1.1081831,0.0,1398.0
247800,1.3808994,-0.2159619,-1.6382332,0.0,1398.0
249200,1.3819504,-0.24775779,-1.0577078,0.0,1398.0
250600,1.382834,-0.2398514,-1.0911894,0.0,1398.0
252000,1.3828242,-0.24402809,-1.1027327,0.0,1398.0
253400,1.3824465,-0.20587888,-1.5100353,0.0,1398.0
254800,1.3822381,-0.086740725,-1.9109116,2.0014000331575517,955.0
