Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
42500,1.6050509,-0.23566061,None,None,-0.9119999706745148
43000,1.5926367,-0.22260791,-0.697999977535801,486.0,-0.7884999839589
43500,1.5919985,-0.21845806,None,None,-0.6074999570846558
44000,1.5890732,-0.22268976,-0.6649999786168337,545.0,-0.7789999544620514
44500,1.5815812,-0.22058493,-0.5224999831989408,385.0,-0.5509999692440033
45000,1.561281,-0.22550647,None,None,-0.5224999785423279
45500,1.5653675,-0.21366704,-1.1399999633431435,826.0,-1.1400000005960464
46000,1.564617,-0.21132137,-0.7409999761730433,596.0,-0.7410000041127205
46500,1.5516658,-0.21124056,-0.6364999795332551,556.0,None
47000,1.5339124,-0.2062072,None,None,-0.6364999860525131
47500,1.5286367,-0.20862158,-0.7689999752328731,677.0,-0.7689999639987946
48000,1.5383998,-0.21106601,-0.6554999789223075,599.0,-0.6554999947547913
48500,1.524041,-0.20669897,None,None,None
49000,1.4974891,-0.19519036,-0.7294999763835222,846.0,-0.7294999808073044
49500,1.4970449,-0.1962803,-0.5604999819770455,569.0,-0.5604999884963036
50000,1.5023279,-0.19687921,-0.6459999792277813,575.0,-0.6459999606013298
50500,1.4967351,-0.19336544,-0.6649999786168337,661.0,-0.6649999618530273
51000,1.4615389,-0.19060066,-0.7219999767839909,729.0,None
51500,1.4677986,-0.18300624,None,None,-0.7219999730587006
52000,1.4755048,-0.17465511,-0.47449998470256105,631.0,-0.47449997067451477
52500,1.460106,-0.17855851,None,None,None
53000,1.458318,-0.18181856,-0.6739999782876112,825.0,-0.6739999875426292
53500,1.4333125,-0.15931511,-0.7784999749273993,884.0,None
54000,1.4397022,-0.16333973,None,None,-0.7784999758005142
54500,1.4372497,-0.16716552,-0.5984999807551503,668.0,-0.5984999984502792
55000,1.4207214,-0.15625381,-0.5864999809418805,921.0,None
55500,1.4139521,-0.1389843,None,None,-0.586499959230423
56000,1.4129661,-0.14392655,-0.6359999795095064,726.0,-0.6359999775886536
56500,1.4035022,-0.14459133,None,None,None
57000,1.417205,-0.14082703,-0.6159999800729565,920.0,-0.6159999519586563
57500,1.3768182,-0.12951906,None,None,None
58000,1.389,-0.13033308,-0.5654999814578332,1114.0,-0.5654999762773514
58500,1.3772122,-0.12537697,None,None,None
59000,1.392215,-0.122889146,-0.492499984044116,846.0,-0.49249997921288013
59500,1.367758,-0.12873323,-0.521999983175192,705.0,-0.5219999849796295
60000,1.3526493,-0.10480907,None,None,None
60500,1.352322,-0.112937436,-0.4334999857819639,1050.0,None
61000,1.3634748,-0.113534056,None,None,-0.4334999918937683
61500,1.3417753,-0.1056087,None,None,None
62000,1.3382239,-0.10073789,-0.44349998550023884,998.0,-0.4434999777004123
