Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
640000,6226.19,1.3174416e-05,-1.0,2084.0,-1.0
642500,6226.792,1.3174416e-05,-1.0,2079.5,-1.0
645000,6221.8555,None,None,None,None
647500,6217.8833,1.3174416e-05,-1.0,2101.0,-1.0
650000,6223.4844,1.3174416e-05,-1.0,2094.0,-1.0
652500,6220.9795,1.3174416e-05,-1.0,2068.0,-1.0
655000,6221.828,1.3174416e-05,-1.0,2048.0,-1.0
657500,6218.043,1.3174419e-05,None,None,None
660000,6226.962,1.3174416e-05,-1.0,2079.6666666666665,-1.0
662500,6223.7314,1.31744155e-05,None,None,None
665000,6228.355,1.31744155e-05,-1.0,2086.5,-1.0
667500,6219.983,1.3174416e-05,-1.0,2078.0,-1.0
670000,6223.1074,1.3174416e-05,-1.0,2088.0,-1.0
672500,6216.2036,1.3174416e-05,None,None,None
675000,6222.4937,1.3174416e-05,-1.0,2106.0,-1.0
677500,6214.3037,1.3174415e-05,None,None,None
680000,6224.176,1.31744155e-05,-1.0,2096.3333333333335,-1.0
682500,6225.932,1.3174416e-05,None,None,None
685000,6227.656,1.31744155e-05,-1.0,2083.0,-1.0
687500,6222.8784,None,None,None,None
690000,6218.6187,1.3174416e-05,-1.0,2070.0,-1.0
692500,6221.042,1.3174416e-05,-1.0,2085.0,-1.0
695000,6223.251,1.31744155e-05,-1.0,2092.0,-1.0
697500,6214.3574,1.3174419e-05,None,None,None
700000,6223.9365,1.3174416e-05,-1.0,2068.0,-1.0
702500,6225.2983,1.31744155e-05,-1.0,2093.0,-1.0
705000,6226.4473,1.3174416e-05,-1.0,2065.0,-1.0
707500,6219.716,1.3174415e-05,-1.0,2098.0,-1.0
710000,6222.2446,1.3174416e-05,-1.0,2096.0,-1.0
712500,6223.0264,1.3174416e-05,-1.0,2104.0,-1.0
715000,6219.8594,1.3174416e-05,-1.0,2108.0,-1.0
717500,6219.979,1.3174416e-05,-1.0,2065.0,-1.0
720000,6224.8,1.3174416e-05,-1.0,2084.0,-1.0
722500,6221.096,1.3174416e-05,-1.0,2085.0,-1.0
725000,6228.1455,1.31744155e-05,-1.0,2081.0,-1.0
727500,6222.185,1.3174415e-05,None,None,None
730000,6218.7637,1.3174416e-05,-1.0,2101.3333333333335,-1.0
732500,6223.082,1.3174416e-05,-1.0,2065.0,-1.0
735000,6216.668,1.3174416e-05,None,None,None
737500,6222.194,1.3174416e-05,-1.0,2093.0,-1.0
740000,6230.497,1.3174416e-05,None,None,None
742500,6222.3003,1.3174416e-05,-1.0,2076.5,-1.0
745000,6224.2637,1.3174416e-05,-1.0,2091.0,-1.0
747500,6226.259,1.3174416e-05,-1.0,2098.0,-1.0
750000,6219.1235,1.31744155e-05,-1.0,2078.0,-1.0
752500,6225.949,1.3174417e-05,-1.0,2112.0,-1.0
755000,6221.9473,1.31744155e-05,-1.0,2098.0,-1.0
757500,6219.9243,1.31744155e-05,-1.0,2078.0,-1.0
760000,6227.1836,1.3174416e-05,-1.0,2068.5,-1.0
762500,6224.088,1.3174416e-05,-1.0,2101.0,-1.0
765000,6221.67,1.3174416e-05,-1.0,2051.0,-1.0
767500,6217.7065,1.3174416e-05,-1.0,2058.0,-1.0
770000,6227.4585,1.3174416e-05,-1.0,2109.5,-1.0
