Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
187600,1.3645151,0.025780555,5.771905,0.0,1398.0
189000,1.362946,0.2501092,6.8974648,2.0014000331575517,1122.0
190400,1.3636857,0.21922046,7.442017,2.0119999974413076,938.5
191800,1.3636421,0.078471415,6.9533935,0.0,1398.0
193200,1.3648796,0.33792824,6.828763,2.0285999619954964,772.0
194600,1.3645339,0.15723503,9.124567,0.0,1398.0
196000,1.3624692,0.052108776,6.5846043,0.0,1398.0
197400,1.3615754,0.044706527,6.6085916,1.0016999803701765,952.5
198800,1.3623434,0.12954637,7.2596984,2.0168999976594932,892.0
200200,1.360681,0.23981233,6.453807,0.0,1398.0
201600,1.3599448,0.04810041,6.584253,0.0,1398.0
203000,1.3597324,0.06786111,6.992876,0.0,1398.0
204400,1.3589894,0.07372898,6.9019423,0.0,1398.0
205800,1.3575655,0.057301298,6.8482184,0.0,1398.0
207200,1.3573366,0.050511297,6.7223325,0.0,1398.0
208600,1.3568642,0.060865447,6.8762636,2.0014000331575517,1225.0
