Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
2330,2.196263,0.040310536,-1.0,6.0,-1.0
2340,2.1961977,0.049800858,-1.0,6.0,-1.0
2350,2.196186,0.03474093,-1.0,6.0,-1.0
2360,2.1961138,-0.010741747,-1.0,6.0,-1.0
2370,2.1961987,0.03225332,-1.0,6.0,-1.0
2380,2.1962156,0.029258471,-1.0,6.0,-1.0
2390,2.1962144,0.03812313,-1.0,6.0,-1.0
2400,2.1962416,0.041197974,-1.0,6.0,-1.0
2410,2.1962628,0.05654891,-1.0,6.0,-1.0
2420,2.1960936,0.053952694,-1.0,6.0,-1.0
2430,2.1962168,0.007298052,-1.0,6.0,-1.0
2440,2.1962137,0.056679353,-1.0,6.0,-1.0
2450,2.1962235,0.027481383,-1.0,6.0,-1.0
2460,2.1961584,0.05168744,-1.0,6.0,-1.0
2470,2.1961956,0.026197108,-1.0,6.0,-1.0
2480,2.196229,0.04777398,-1.0,6.0,-1.0
2490,2.1962492,0.059498906,-1.0,6.0,-1.0
2500,2.1962023,0.040217936,-1.0,6.0,-1.0
2510,2.1962168,0.022512883,-1.0,6.0,-1.0
2520,2.1962073,0.03901568,-1.0,6.0,-1.0
2530,2.1962678,0.06213337,-1.0,6.0,-1.0
2540,2.1962574,0.04825832,-1.0,6.0,-1.0
2550,2.196194,0.040261663,-1.0,6.0,-1.0
2560,2.1961548,0.038265377,-1.0,6.0,-1.0
2570,2.1962383,0.030897394,-1.0,6.0,-1.0
2580,2.1962042,0.013078164,-1.0,6.0,-1.0
2590,2.1961944,-0.031703163,-1.0,6.0,-1.0
2600,2.1962495,0.018063972,-1.0,6.0,-1.0
2610,2.1962602,0.063508965,-1.0,6.0,-1.0
2620,2.1961496,0.053447615,-1.0,6.0,-1.0
2630,2.1961703,0.03196648,-1.0,6.0,-1.0
2640,2.196211,0.031376414,-1.0,6.0,-1.0
2650,2.1962059,0.01819622,-1.0,6.0,-1.0
2660,2.1962285,0.05035087,-1.0,6.0,-1.0
2670,2.1961956,0.041688666,-1.0,6.0,-1.0
2680,2.1962068,0.049807794,-1.0,6.0,-1.0
2690,2.1962342,0.058156785,-1.0,6.0,-1.0
2700,2.196211,0.032417007,-1.0,6.0,-1.0
2710,2.196195,0.028897397,-1.0,6.0,-1.0
2720,2.1962574,0.03967031,-1.0,6.0,-1.0
2730,2.1962483,0.023368334,-1.0,6.0,-1.0
2740,2.1961963,0.052669257,-1.0,6.0,-1.0
2750,2.1961734,0.036334943,-1.0,6.0,-1.0
2760,2.1961894,0.02805641,-1.0,6.0,-1.0
2770,2.1962688,0.030279003,-1.0,6.0,-1.0
2780,2.1962545,0.05403498,-1.0,6.0,-1.0
2790,2.1961012,0.026715271,-1.0,6.0,-1.0
2800,2.1962454,0.0054682563,-1.0,6.0,-1.0
2810,2.1962657,0.06000011,-1.0,6.0,-1.0
2820,2.1961555,0.04401479,-1.0,6.0,-1.0
2830,2.196156,-0.0010512265,-1.0,6.0,-1.0
2840,2.1962378,0.02014535,-1.0,6.0,-1.0
2850,2.1962292,0.057401508,-1.0,6.0,-1.0
2860,2.1962507,0.042473137,-1.0,6.0,-1.0
2870,2.196172,0.040707257,-1.0,6.0,-1.0
2880,2.1962335,0.05532534,-1.0,6.0,-1.0
2890,2.1961677,0.055295616,-1.0,6.0,-1.0
2900,2.1962621,0.0011218423,-1.0,6.0,-1.0
2910,2.1962144,0.04725021,-1.0,6.0,-1.0
2920,2.1962297,0.05051616,-1.0,6.0,-1.0
2930,2.1962621,0.057941776,-1.0,6.0,-1.0
2940,2.1962142,0.055249725,-1.0,6.0,-1.0
2950,2.1961787,0.040029168,-1.0,6.0,-1.0
2960,2.1960843,0.02371827,-1.0,6.0,-1.0
2970,2.196218,0.00395905,-1.0,6.0,-1.0
2980,2.1961985,-0.014890978,-1.0,6.0,-1.0
2990,2.1961687,0.026815714,-1.0,6.0,-1.0
3000,2.1962092,-0.00420596,-1.0,6.0,-1.0
3010,2.1962507,0.03469601,-1.0,6.0,-1.0
3020,2.1962569,0.04700271,-1.0,6.0,-1.0
3030,2.1961856,0.036984917,-1.0,6.0,-1.0
3040,2.1962245,0.018884722,-1.0,6.0,-1.0
3050,2.1962464,0.052202035,-1.0,6.0,-1.0
3060,2.1961575,0.055510357,-1.0,6.0,-1.0
3070,2.1961873,0.020495564,-1.0,6.0,-1.0
3080,2.1961691,0.033217166,-1.0,6.0,-1.0
3090,2.1962557,0.050882798,-1.0,6.0,-1.0
3100,2.1962454,0.04265482,-1.0,6.0,-1.0
3110,2.1961472,0.03260342,-1.0,6.0,-1.0
3120,2.196234,0.04446584,-1.0,6.0,-1.0
3130,2.1962073,0.04752322,-1.0,6.0,-1.0
3140,2.1962657,0.04637591,-1.0,6.0,-1.0
3150,2.1961877,0.046197325,-1.0,6.0,-1.0
3160,2.1962082,0.042053964,-1.0,6.0,-1.0
3170,2.1961997,0.014022463,-1.0,6.0,-1.0
3180,2.196201,0.05593681,-1.0,6.0,-1.0
3190,2.1961844,0.03664463,-1.0,6.0,-1.0
3200,2.1962075,0.037540313,-1.0,6.0,-1.0
3210,2.1962569,0.03811219,-1.0,6.0,-1.0
3220,2.1962166,0.056192137,-1.0,6.0,-1.0
3230,2.196197,0.031629592,-1.0,6.0,-1.0
3240,2.1961832,0.053027727,-1.0,6.0,-1.0
3250,2.196178,0.0472507,-1.0,6.0,-1.0
3260,2.1961877,-0.06650607,-1.0,6.0,-1.0
3270,2.196203,0.033269964,-1.0,6.0,-1.0
3280,2.1962202,0.04412816,-1.0,6.0,-1.0
3290,2.1961622,0.046393644,-1.0,6.0,-1.0
3300,2.1961877,-0.099404834,-1.0,6.0,-1.0
3310,2.196228,0.019852823,-1.0,6.0,-1.0
3320,2.196239,0.052830517,-1.0,6.0,-1.0
3330,2.1962368,0.05243327,-1.0,6.0,-1.0
3340,2.196259,0.048045836,-1.0,6.0,-1.0
3350,2.196174,0.03923958,-1.0,6.0,-1.0
3360,2.196222,0.049480565,-1.0,6.0,-1.0
3370,2.1962214,0.04829685,-1.0,6.0,-1.0
3380,2.1962056,0.02571131,-1.0,6.0,-1.0
3390,2.1961517,-0.0022044063,-1.0,6.0,-1.0
3400,2.1961768,0.02832889,-1.0,6.0,-1.0
3410,2.196283,0.042905476,-1.0,6.0,-1.0
3420,2.1961765,0.049324706,-1.0,6.0,-1.0
3430,2.196195,0.029920088,-1.0,6.0,-1.0
3440,2.196239,0.048286032,-1.0,6.0,-1.0
3450,2.1962163,0.05698969,-1.0,6.0,-1.0
3460,2.196147,0.00021617836,-1.0,6.0,-1.0
3470,2.1961777,-0.030800158,-1.0,6.0,-1.0
3480,2.1961846,0.0477897,-1.0,6.0,-1.0
3490,2.196237,0.045179654,-1.0,6.0,-1.0
3500,2.1961725,0.041548032,-1.0,6.0,-1.0
3510,2.1961832,0.032559976,-1.0,6.0,-1.0
3520,2.1962368,0.04445973,-1.0,6.0,-1.0
3530,2.1962774,0.061252296,-1.0,6.0,-1.0
3540,2.1962035,0.052685983,-1.0,6.0,-1.0
3550,2.1961782,0.03603034,-1.0,6.0,-1.0
3560,2.1961894,0.046368234,-1.0,6.0,-1.0
3570,2.196215,0.049817096,-1.0,6.0,-1.0
3580,2.1961887,0.0013966076,-1.0,6.0,-1.0
3590,2.1962218,0.023626238,-1.0,6.0,-1.0
3600,2.1961946,0.044130612,-1.0,6.0,-1.0
3610,2.196253,0.05025645,-1.0,6.0,-1.0
3620,2.1962636,0.056637816,-1.0,6.0,-1.0
3630,2.1961858,0.04712769,-1.0,6.0,-1.0
3640,2.1962116,0.052048817,-1.0,6.0,-1.0
3650,2.196155,-0.015785271,-1.0,6.0,-1.0
3660,2.1958842,-0.09392415,-1.0,6.0,-1.0
3670,2.195896,-0.09781318,-1.0,6.0,-1.0
3680,2.1959844,-0.111698635,-1.0,6.0,-1.0
3690,2.196076,-0.117168196,-1.0,6.0,-1.0
3700,2.1960201,-0.12377011,-1.0,6.0,-1.0
3710,2.195875,-0.09259943,-1.0,6.0,-1.0
3720,2.195984,-0.109568775,-1.0,6.0,-1.0
3730,2.1960447,-0.11590278,-1.0,6.0,-1.0
3740,2.1959908,-0.10186615,-1.0,6.0,-1.0
3750,2.1958296,-0.09081364,-1.0,6.0,-1.0
3760,2.196012,-0.09821256,-1.0,6.0,-1.0
3770,2.1959765,-0.11312232,-1.0,6.0,-1.0
3780,2.1960318,-0.10996768,-1.0,6.0,-1.0
3790,2.195885,-0.09419334,-1.0,6.0,-1.0
3800,2.1959815,-0.10644853,-1.0,6.0,-1.0
3810,2.196057,-0.11002632,-1.0,6.0,-1.0
3820,2.1959686,-0.10224353,-1.0,6.0,-1.0
3830,2.195802,-0.09198519,-1.0,6.0,-1.0
3840,2.196004,-0.11497304,-1.0,6.0,-1.0
3850,2.1960032,-0.10918354,-1.0,6.0,-1.0
3860,2.196072,-0.13226224,-1.0,6.0,-1.0
3870,2.1959107,-0.092781425,-1.0,6.0,-1.0
3880,2.1959887,-0.12136242,-1.0,6.0,-1.0
3890,2.1960285,-0.10937267,-1.0,6.0,-1.0
3900,2.1959438,-0.10527663,-1.0,6.0,-1.0
